Title,Year,IMDb Rating,Metascore,Votes
Poor Things,2023,8.4,87,
Killers of the Flower Moon,2023,7.7,89,
La sociedad de la nieve,2023,7.9,72,
Oppenheimer,2023,8.4,89,
The Holdovers,2023,8.0,82,
12th Fail,2023,9.2,,
Anatomie d'une chute,2023,7.8,86,
Godzilla -1.0,2023,8.3,80,
Past Lives,2023,7.9,94,
듄,2021,8.0,74,
Once Upon a Time..,2019,7.6,84,
더 배트맨,2022,7.8,72,
탑건: 매버릭,2022,8.3,78,
Spider-Man: Across the Spider-Verse,2023,8.6,86,
인터스텔라,2014,8.7,74,
쇼생크 탈출,1994,9.3,82,
Mission: Impossible - Dead Reckoning Part One,2023,7.7,81,
에브리씽 에브리웨어 올 앳 원스,2022,7.8,81,
Daeboo,1972,9.2,100,
젠틀맨,2019,7.8,51,
John Wick: Chapter 4,2023,7.7,78,
해리포터와 마법사의 돌,2001,7.6,65,
글래디에이터,2000,8.5,67,
더 울프 오브 월 스트리트,2013,8.2,75,
다크 나이트,2008,9.0,84,
반지의 제왕: 반지 원정대,2001,8.9,92,
Gisaengchung,2019,8.5,96,
뻐꾸기 둥지 위로 날아간 새,1975,8.7,84,
펄프 픽션,1994,8.9,95,
더 밴시즈 오브 이니셔린,2022,7.7,87,
인셉션,2010,8.8,74,
파고,1996,8.1,86,
타이타닉,1997,7.9,75,
파이트 클럽,1999,8.8,67,
Guardians of the Galaxy Vol,2023,7.9,64,
매드맥스: 분노의 도로,2015,8.1,90,
스파이더맨: 노 웨이 홈,2021,8.2,71,
히트,1995,8.3,76,
조커,2019,8.4,59,
왓치맨,2009,7.6,56,
위플래쉬,2014,8.5,89,
Gone Girl,2014,8.1,79,
양들의 침묵,1991,8.6,86,
쉰들러 리스트,1993,9.0,95,
세븐,1995,8.6,65,
오만과 편견,2005,7.8,82,
위대한 레보스키,1998,8.1,71,
라라랜드,2016,8.0,94,
Willy Wonka,1971,7.8,67,
포레스트 검프,1994,8.8,82,
굿 윌 헌팅,1997,8.3,71,
Dakeu naiteu raijeu,2012,8.4,78,
Taxi Driver,1976,8.2,94,
Jyuragi gongwon,1993,8.2,68,
셔터 아일랜드,2010,8.2,63,
블레이드 러너 2049,2017,8.0,81,
Mystic River,2003,7.9,84,
프리즈너스,2013,8.1,70,
매트릭스,1999,8.7,73,
레옹,1994,8.5,64,
라이온 킹,1994,8.5,88,
배트맨 비긴즈,2005,8.2,70,
반지의 제왕: 왕의 귀환,2003,9.0,94,
에이리언,1979,8.5,89,
구니스,1985,7.7,62,
Little Women,2019,7.8,91,
빽 투 더 퓨쳐,1985,8.5,87,
좋은 친구들,1990,8.7,92,
노트북,2004,7.8,53,
바스터즈: 거친 녀석들,2009,8.4,69,
프레스티지,2006,8.5,66,
어벤져스: 엔드게임,2019,8.4,78,
센과 치히로의 행방불명,2001,8.6,96,
아메리칸 뷰티,1999,8.3,84,
레퀴엠,2000,8.3,71,
Oldeuboi,2003,8.3,78,
Harry Potter and the Goblet of Fire,2005,7.7,81,
블랙스완,2010,8.0,79,
디파티드,2006,8.5,85,
아메리칸 사이코,2000,7.6,64,
The Blues Brothers,1980,7.9,60,
The Color Purple,1985,7.7,78,
Aliens,1986,8.4,84,
The Godfather Part II,1974,9.0,90,
나이브스 아웃,2019,7.9,82,
나 홀로 집에,1990,7.7,63,
Haeri Poteowa jugeumui seongmul - 2bu,2011,8.1,85,
덩케르크,2017,7.8,94,
이터널 선샤인,2004,8.3,89,
장고: 분노의 추적자,2012,8.5,81,
Stand by Me,1986,8.1,75,
캐리비안의 해적: 블랙펄의 저주,2003,8.1,63,
Blazing Saddles,1974,7.7,73,
더 웨일,2022,7.7,60,
Braveheart,1995,8.3,68,
The Princess Bride,1987,8.0,78,
노인을 위한 나라는 없다,2007,8.2,92,
콜 미 바이 유어 네임,2017,7.8,94,
시카리오: 암살자의 도시,2015,7.7,82,
Terminator 2: Judgment Day,1991,8.6,75,
호빗: 뜻밖의 여정,2012,7.8,58,
어톤먼트,2007,7.8,85,
그린 북,2018,8.2,69,
애프터선,2022,7.6,95,
Star Wars,1977,8.6,90,
Tombstone,1993,7.8,50,
메멘토,2000,8.4,83,
샤이닝,1980,8.4,66,
제5원소,1997,7.6,52,
300,2006,7.6,52,
겟 아웃,2017,7.8,85,
The Lord of the Rings: The Two Towers,2002,8.8,87,
레이더스,1981,8.4,86,
12명의 성난 사람들,1957,9.0,97,
드래곤 길들이기,2010,8.1,75,
Harry Potter and the Prisoner of Azkaban,2004,7.9,82,
아바타,2009,7.9,83,
Donnie Darko,2001,8.0,88,
레버넌트: 죽음에서 돌아온 자,2015,8.0,76,
데드풀,2016,8.0,65,
드라이브,2011,7.8,79,
지옥의 묵시록,1979,8.4,94,
Lawrence of Arabia,1962,8.3,100,
터미네이터,1984,8.1,84,
Snatch,2000,8.2,55,
The Thing,1982,8.2,57,
스파이더맨: 뉴 유니버스,2018,8.4,87,
Airplane!,1980,7.7,78,
사운드 오브 뮤직,1965,8.1,63,
실버라이닝 플레이북,2012,7.7,81,
L.A,1997,8.2,91,
데어 윌 비 블러드,2007,8.2,93,
킬 빌,2003,8.2,69,
Howlui umjikineun seong,2004,8.2,82,
블레이드 러너,1982,8.1,84,
소울,2020,8.0,83,
그린 마일,1999,8.6,61,
시계태엽 오렌지,1971,8.3,77,
더 헌트,2012,8.3,77,
The Irishman,2019,7.8,94,
헤이트풀8,2015,7.8,68,
Mississippi Burning,1988,7.8,65,
Ahgassi,2016,8.1,85,
Wind River,2017,7.7,73,
라따뚜이,2007,8.1,96,
트루먼 쇼,1998,8.2,90,
Kingsman: Secret Agent,2014,7.7,60,
수퍼배드,2007,7.6,76,
라이언 일병 구하기,1998,8.6,91,
유주얼 서스펙트,1995,8.5,76,
Deadpool 2,2018,7.6,66,
가디언즈 오브 갤럭시,2014,8.0,76,
시티 오브 갓,2002,8.6,79,
2001: A Space Odyssey,1968,8.3,84,
Geu-nyeo,2013,8.0,91,
피아니스트,2002,8.5,85,
Ford v Ferrari,2019,8.1,81,
엣지 오브 투모로우,2014,7.9,71,
고스트 버스터즈,1984,7.8,71,
Thor: Ragnarok,2017,7.9,74,
The Grand Budapest Hotel,2014,8.1,88,
Dances with Wolves,1990,8.0,72,
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,
핵소 고지,2016,8.1,71,
The Breakfast Club,1985,7.8,66,
컴 앤 씨,1985,8.4,,
스카페이스,1983,8.3,65,
멀홀랜드 드라이브,2001,7.9,86,
아메리칸 히스토리 X,1998,8.5,62,
Office Space,1999,7.6,68,
저수지의 개들,1992,8.3,81,
Bohemian Rhapsody,2018,7.9,49,
Into the Wild,2007,8.1,73,
죽은 시인의 사회,1989,8.1,79,
Metal jaket,1987,8.3,78,
다이 하드,1988,8.2,72,
Trainspotting,1996,8.1,83,
빅쇼트,2015,7.8,81,
행오버,2009,7.7,73,
어바웃 타임,2013,7.8,55,
Stardust,2007,7.6,66,
로보캅,1987,7.6,70,
원스 어폰 어 타임 인 아메리카,1984,8.3,75,
마션,2015,8.0,80,
석양의 무법자,1966,8.8,90,
Hell or High Water,2016,7.6,88,
Training Day,2001,7.7,71,
Chinatown,1974,8.1,92,
쓰리 빌보드,2017,8.1,88,
어벤져스: 인피니티 워,2018,8.4,68,
Arrival,2016,7.9,81,
서부 전선 이상 없다,2022,7.8,76,
Ferris Bueller's Day Off,1986,7.8,61,
The Incredibles,2004,8.0,90,
헬프,2011,8.1,62,
Warrior,2011,8.1,71,
잭 스나이더의 저스티스 리그,2021,7.9,54,
캐치 미 이프 유 캔,2002,8.1,75,
Puss in Boots: The Last Wish,2022,7.8,73,
엑소시스트: 디렉터스 컷,1973,8.1,82,
Finding Nemo,2003,8.2,90,
로그 원: 스타워즈 스토리,2016,7.8,65,
The Girl with the Dragon Tattoo,2011,7.8,71,
사랑할 땐 누구나 최악이 된다,2021,7.7,90,
아마데우스,1984,8.4,87,
Children of Men,2006,7.9,84,
American Gangster,2007,7.8,76,
코다,2021,8.0,72,
1917,2019,8.2,78,
엑스 마키나,2014,7.7,78,
오션스 일레븐,2001,7.7,74,
히든 피겨스,2016,7.8,74,
500 Days of Summer,2009,7.7,76,
Jutopia,2016,8.0,78,
맨 온 파이어,2004,7.7,47,
아이언맨,2008,7.9,79,
Almost Famous,2000,7.9,90,
Indiana Jones and the Last Crusade,1989,8.2,65,
브이 포 벤데타,2005,8.2,62,
어벤져스,2012,8.0,69,
Casino Royale,2006,8.0,80,
Platoon,1986,8.1,92,
로건,2017,8.1,77,
Sin City,2005,8.0,74,
바람과 함께 사라지다,1939,8.2,97,
식스 센스,1999,8.2,64,
카사블랑카,1942,8.5,100,
Hamilton,2020,8.3,88,
오즈의 마법사,1939,8.1,92,
조디악,2007,7.7,79,
Star Trek: The Beginning,2009,7.9,82,
"Gajang Ttatteutan Saek, Beullu",2013,7.7,90,
La vita è bella,1997,8.6,59,
The Theory of Everything,2014,7.7,71,
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,
인사이드 아웃,2015,8.1,94,
Mononoke-hime,1997,8.3,76,
언터처블: 1%의 우정,2011,8.5,57,
카지노,1995,8.2,73,
Apocalypto,2006,7.8,68,
부기 나이트,1997,7.9,86,
Toy Story,1995,8.3,96,
미션 임파서블: 폴아웃,2018,7.7,87,
이미테이션 게임,2014,8.0,71,
True Romance,1993,7.9,59,
The Hobbit: The Desolation of Smaug Extended Edition,2013,7.8,66,
조조 래빗,2019,7.9,58,
What's Eating Gilbert Grape,1993,7.7,73,
더 파더,2020,8.2,88,
X-Men: Days of Future Past,2014,7.9,75,
Room,2015,8.1,86,
Fantastic Mr,2009,7.9,83,
월-E,2008,8.4,95,
Star Wars: Episode VII - The Force Awakens,2015,7.8,80,
Neoui Ileum-eun.,2016,8.4,81,
록키,1976,8.1,70,
Kill Bill: Vol,2004,8.0,83,
RRR,2022,7.8,83,
브롱스 이야기,1993,7.8,80,
Shrek,2001,7.9,84,
This Is Spinal Tap,1984,7.9,92,
The Sting,1973,8.3,83,
In Bruges,2008,7.9,67,
나이트 크롤러,2014,7.8,76,
원스 어폰 어 타임 인 더 웨스트,1968,8.5,82,
Sosyeol neteuwokeu,2010,7.8,95,
코코,2017,8.4,81,
Taken,2008,7.8,51,
라스트 모히칸,1992,7.7,76,
12 Years a Slave,2013,8.1,96,
Little Miss Sunshine,2006,7.8,80,
월플라워,2012,7.9,67,
Wonder,2017,7.9,66,
Boyz n the Hood,1991,7.8,76,
Predator,1987,7.8,47,
Detachment,2011,7.7,52,
Salinui chueok,2003,8.1,82,
Black Hawk Down,2001,7.7,74,
반딧불이의 묘,1988,8.5,94,
X-Men: First Class,2011,7.7,65,
죠스,1975,8.1,87,
싸이코,1960,8.5,97,
E.T,1982,7.9,92,
쿵푸팬더,2008,7.6,74,
스타워즈 에피소드 5 - 제국의 역습,1980,8.7,82,
Mary Poppins,1964,7.8,88,
Gone Baby Gone,2007,7.6,72,
Rapunjel,2010,7.7,71,
The Fugitive,1993,7.8,87,
그을린 사랑,2010,8.3,80,
Apollo 13,1995,7.7,78,
Hot Fuzz,2007,7.8,81,
Manchester by the Sea,2016,7.8,96,
Star Wars: Episode VI - Return of the Jedi,1983,8.3,58,
세 얼간이,2009,8.4,67,
판의 미로 - 오필리아와 세 개의 열쇠,2006,8.2,98,
Fried Green Tomatoes,1991,7.7,64,
"Lock, Stock and Two Smoking Barrels",1998,8.1,65,
브로크백 마운틴,2005,7.7,87,
아멜리에,2001,8.3,69,
A Beautiful Mind,2001,8.2,72,
Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,
What Ever Happened to Baby Jane?,1962,8.0,75,
Rain Man,1988,8.0,65,
스포트라이트,2015,8.1,93,
Skyfall,2012,7.8,81,
더 게임,1997,7.7,63,
캡틴 아메리카: 시빌 워,2016,7.8,75,
사랑도 통역이 되나요?,2003,7.7,91,
"Monsters, Inc.",2001,8.1,79,
디 아더스,2001,7.6,74,
업,2009,8.3,88,
Remember the Titans,2000,7.8,48,
The Deer Hunter,1978,8.1,86,
멋진 인생,1946,8.6,89,
비포 선라이즈,1995,8.1,77,
In the Heat of the Night,1967,7.9,76,
알라딘,1992,8.0,86,
Raging Bull,1980,8.1,90,
사랑의 블랙홀,1993,8.0,72,
The Curious Case of Benjamin Button,2008,7.8,70,
Saw,2004,7.6,46,
Dr,1964,8.4,97,
Blue Velvet,1986,7.7,75,
그래비티,2013,7.7,96,
Nabi hyogwa,2004,7.6,30,
The Brave,2010,7.6,80,
Captain Fantastic,2016,7.8,72,
Downfall,2004,8.2,82,
Guardians of the Galaxy Vol,2017,7.6,67,
샤레이드,1963,7.8,83,
Unforgiven,1992,8.2,85,
My Cousin Vinny,1992,7.6,68,
머니볼,2011,7.6,87,
12 몽키즈,1995,8.0,75,
타인의 삶,2006,8.4,89,
The Untouchables,1987,7.8,79,
The Best Years of Our Lives,1946,8.1,93,
빅 피쉬,2003,8.0,58,
Barry Lyndon,1975,8.1,89,
Y tu mamá también,2001,7.7,89,
시민 케인,1941,8.3,100,
The Conversation,1974,7.8,87,
프라이멀 피어,1996,7.7,47,
어나더 라운드,2020,7.7,79,
The Boondock Saints,1999,7.7,44,
Star Trek Into Darkness,2013,7.7,72,
The Bourne Identity,2002,7.8,68,
Cast Away,2000,7.8,73,
What We Do in the Shadows,2014,7.6,76,
Metropolis,1927,8.3,98,
The Boy in the Striped Pajamas,2008,7.7,55,
A Few Good Men,1992,7.7,62,
District 9,2009,7.9,81,
Rush,2013,8.1,74,
Serenity,2005,7.8,74,
킥 애스: 영웅의 탄생,2010,7.6,66,
Bugbugseolo Jinloleul Dollyeola,1959,8.3,98,
Tonari no Totoro,1988,8.1,86,
First Blood,1982,7.7,61,
졸업,1967,8.0,83,
결혼 이야기,2019,7.9,94,
Blood Diamond,2006,8.0,64,
Mad Max 2,1981,7.6,77,
캡틴 아메리카: 윈터 솔져,2014,7.7,70,
The Fighter,2010,7.8,79,
Shaun of the Dead,2004,7.9,76,
Edward Scissorhands,1990,7.9,74,
Sense and Sensibility,1995,7.7,84,
Midnight in Paris,2011,7.6,81,
이창,1954,8.5,100,
The Sandlot,1993,7.8,55,
칼리토,1993,7.9,66,
Argo,2012,7.7,86,
시네마 천국,1988,8.5,80,
The Count of Monte Cristo,2002,7.7,61,
Mulan,1998,7.7,72,
여인의 향기,1992,8.0,57,
The Name of the Rose,1986,7.7,54,
The Last Samurai,2003,7.8,55,
Dallas Buyers Club,2013,7.9,77,
Back to the Future Part II,1989,7.8,57,
그랜 토리노,2008,8.1,72,
The King's Speech,2010,8.0,88,
코렐라인: 비밀의 문,2009,7.7,80,
How to Train Your Dragon 2,2014,7.8,77,
Beauty and the Beast,1991,8.0,95,
Minority Report,2002,7.6,80,
"Paris, Texas",1984,8.1,81,
토이 스토리 4,2019,7.7,84,
Hyeongijeung,1958,8.3,100,
The Machinist,2004,7.6,61,
사랑은 비를 타고,1952,8.3,99,
Fa yeung nin wah,2000,8.1,87,
7인의 사무라이,1954,8.6,98,
타오르는 여인의 초상,2019,8.1,95,
Captain Phillips,2013,7.8,82,
스트레이트 아웃 오브 컴턴,2015,7.8,72,
Monty Python and the Holy Grail,1975,8.2,91,
Close,2022,7.8,81,
Moon,2009,7.8,67,
Crash,2004,7.7,66,
Magnolia,1999,8.0,78,
가타카,1997,7.7,64,
Rosemary's Baby,1968,8.0,96,
이보다 더 좋을 순 없다,1997,7.7,67,
Road to Perdition,2002,7.7,72,
"O Brother, Where Art Thou?",2000,7.7,69,
Slumdog Millionaire,2008,8.0,84,
Planet of the Apes,1968,8.0,79,
토이 스토리 3,2010,8.3,92,
Misery,1990,7.8,75,
사운드 오브 메탈,2019,7.7,82,
이스턴 프라미스,2007,7.6,83,
When Harry Met Sally...,1989,7.7,76,
Deliverance,1972,7.7,80,
Young Frankenstein,1974,8.0,83,
인비저블 게스트,2016,8.0,,
The Man from Earth,2007,7.8,,
End of Watch,2012,7.6,68,
Ang-ma-reul bo-at-da,2010,7.8,67,
Big Hero 6,2014,7.8,74,
The Elephant Man,1980,8.2,78,
Perfect Blue,1997,8.0,67,
Die Hard with a Vengeance,1995,7.6,58,
The Great Escape,1963,8.2,86,
Network,1976,8.1,83,
The Maltese Falcon,1941,8.0,97,
Paddington 2,2017,7.8,88,
Stalker,1979,8.1,85,
Mr,2009,7.7,63,
슈퍼배드,2010,7.6,72,
할로윈,1978,7.7,90,
Midnight Cowboy,1969,7.8,79,
Wreck-It Ralph,2012,7.7,72,
The Raid: Redemption,2011,7.6,73,
가버나움,2018,8.4,75,
The Birds,1963,7.6,90,
La haine,1995,8.1,,
Sunset Blvd.,1950,8.4,94,
The Pursuit of Happyness,2006,8.0,64,
The Thin Red Line,1998,7.6,78,
After Hours,1985,7.6,90,
Who Framed Roger Rabbit,1988,7.7,83,
3:10 to Yuma,2007,7.6,76,
The Best Offer,2013,7.8,49,
Flipped,2010,7.7,45,
The Blind Side,2009,7.6,53,
밀리언 달러 베이비,2004,8.1,86,
K.G.F: Chapter 2,2022,8.3,,
Wa ho jang ryong,2000,7.9,94,
La montaña sagrada,1973,7.8,76,
Walk the Line,2005,7.8,72,
Some Like It Hot,1959,8.2,98,
Kiki's Delivery Service,1989,7.8,85,
Moonrise Kingdom,2012,7.8,84,
El Sikeuleto: Bimil-ui Nundongja,2009,8.2,80,
Goldfinger,1964,7.7,87,
Life of Pi,2012,7.9,79,
Seppuku,1962,8.6,85,
The Boat,1981,8.4,85,
JFK,1991,8.0,72,
Do the Right Thing,1989,8.0,93,
Toy Story 2,1999,7.9,88,
Lion,2016,8.0,69,
Dogville,2003,8.0,61,
Bonnie and Clyde,1967,7.7,86,
Naked,1993,7.7,85,
Jujutsu Kaisen 0: The Movie,2021,7.8,71,
To Kill a Mockingbird,1962,8.3,88,
Waildeu Teiljeu: Cham-eul Su Eobsneun Sungan,2014,8.1,77,
"안녕, 헤이즐",2014,7.7,69,
Akira,1988,8.0,67,
The Fly,1986,7.6,79,
Ppa Ppi Yong,1973,8.0,58,
황야의 7인,1960,7.7,74,
Boyhood,2014,7.9,100,
Awakenings,1990,7.8,74,
Gake no ue no Ponyo,2008,7.6,86,
Brazil,1985,7.9,84,
The Lego Movie,2014,7.7,83,
The Iron Giant,1999,8.1,85,
Dark Waters,2019,7.6,73,
Hachi: A Dog's Tale,2009,8.1,,
The Girl with the Dragon Tattoo,2009,7.8,76,
Togo,2019,7.9,69,
Dog Day Afternoon,1975,8.0,86,
Ghost in the Shell,1995,7.9,76,
The Longest Day,1962,7.7,75,
Lethal Weapon,1987,7.6,68,
Tumbbad,2018,8.2,,
Before Midnight,2013,7.9,94,
A Christmas Story,1983,7.9,77,
The Ten Commandments,1956,7.9,,
Paths of Glory,1957,8.4,90,
Doctor Zhivago,1965,7.9,69,
High Noon,1952,8.0,89,
Adaptation.,2002,7.7,83,
The Royal Tenenbaums,2001,7.6,76,
Donnie Brasco,1997,7.7,77,
팀버튼의 크리스마스 악몽,1993,7.9,82,
The Apartment,1960,8.3,94,
Star Trek II: The Wrath of Khan,1982,7.7,68,
Butch Cassidy and the Sundance Kid,1969,8.0,66,
서틴 라이브스,2022,7.8,66,
Hunt for the Wilderpeople,2016,7.8,81,
The Jungle Book,1967,7.6,65,
Sita Ramam,2022,8.6,,
필사의 도전,1983,7.8,91,
The Bourne Ultimatum,2007,8.0,85,
Moksoriui hyeongtae,2016,8.1,78,
Nebraska,2013,7.7,86,
The Mitchells vs the Machines,2021,7.6,81,
